TubeID,Date,Month,MonthNo,Season,Time,Monkey,Birthday,Age,AgeD,AgeY,Sex,Rank,Group,GroupSize,MCPDensity,KDE50Density,KDE95Density,Matriline,Kin,FemaleKin,KDE50,KDE95,MCP_HR,MCP_DRY,MCP_RAINY,MCP_RAINY1,MCP_RAINY2,NDVI_RAINY2,NDVI_RAINY1,NDVI_RAINY,NDVI_DRY,NDVI,MINT_2,MINT_1,MINT,AVET_2,AVET_1,AVET,MAXT_2,MAXT_1,MAXT,RAIN_2,RAIN_1,RAIN,TreeArea,BuildArea,RangeArea,AnalysisEnd,Observer,TotalMl,FecesWeight,Diversity,M1_Fila,M2_Stegg,M3_Hdimi,M4_Prosth,M5_Subu,M6_Spiru,M7_Eim,M8_StAM,M9_StLVR,M10_StLVF,TotalP,PPG,FilaPA,SteggPA,HdimiPA,ProsthPA,SubuPA,SpiruPA,EimPA,StamPA,StlvrPA,StlvFPA,FilaPFG,SteggPFG,HdimiPFG,StamPFG,StlvrPFG,StlvrPFG
PA-299,15-Dec-20,Dec,5,DRY,10:08,Amidala,6/2/16,LJF,2701,7.4,Female,,AD,22,11.38186734,42.71048504,13.88406803,Seri,7,6,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,23.71,22.93,22.79,25.55,24.57,25.09,27.38,26.2,27.39,441.6,681.5,29,0.889842666,0.009383832,0.100944747,10/25/23,MCH,6.5,1.39,2,24,29,0,0,0,0,0,0,0,0,53,38,1,1,0,0,0,0,0,0,0,0,17,21,0,0,0,0
PA-171,19-Oct-20,Oct,3,RAINY,10:08,Appo,4/29/17,LJM,1943,5.323287671,Male,,AD,22,11.38186734,42.71048504,13.88406803,Timo,9,7,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,24.06,23.79,23.71,26.16,26.07,25.55,28.26,28.35,27.38,512.2,327.9,441.6,0.889842666,0.009383832,0.100944747,8/24/22,JC,6,1.2,4,114,2,0,0,0,0,0,1,0,1,118,98,1,1,0,0,0,0,0,1,0,1,95,2,0,1,0,1
PA-526,16-Mar-21,Mar,8,DRY,9:30,Appo,4/29/17,LJM,2243,6.145205479,Male,,AD,22,11.38186734,42.71048504,13.88406803,Timo,9,7,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,22.97,23.14,23.77,25.61,27.07,28.25,28.24,31,32.73,10.8,10.8,0.1,0.889842666,0.009383832,0.100944747,6/20/23,MCH,7.5,2.76,4,622,22,906,0,0,0,0,0,0,10,1560,565,1,1,1,0,0,0,0,0,0,1,225,8,328,0,0,4
PA-709,11-Aug-21,2-Aug,13,RAINY,10:10,Appo,4/29/17,LJM,1916,5.249315068,Male,,AD,22,11.38186734,42.71048504,13.88406803,Timo,9,7,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,23.89,23.94,23.39677419,26.93,26.5,25.73709677,29.97,29.05,28.07741935,153.4,89.8,285.8,0.889842666,0.009383832,0.100944747,7/28/22,JKH,7.5,2.49,3,102,4,0,0,0,0,0,0,1,0,107,43,1,1,0,0,0,0,0,0,1,0,41,2,0,0,0,0
PA-475,18-Feb-21,Feb,7,DRY,9:28,Aragog,1/10/17,LJM,2551,6.989041096,Male,,GN,23,16.07948579,34.67887363,16.64771481,Petu,6,3,0.663228,1.381571,1.430394,0.855759,1.328901,1.142284,0.739244,0.685529798,0.733495332,0.709512565,0.800760354,0.750617982,22.79,22.97,23.14,25.09,25.61,27.07,27.39,28.24,31,29,10.8,10.8,0.968751267,0,0.030949515,1/5/24,MCH,6.4,0.38,2,71,2,0,0,0,0,0,0,0,0,73,192,1,1,0,0,0,0,0,0,0,0,187,5,0,0,0,0
PA-696,10-Aug-21,2-Aug,13,RAINY,11:00,Aragog,1/10/17,LJM,2281,6.249315068,Male,,GN,23,16.07948579,34.67887363,16.64771481,Petu,6,3,0.663228,1.381571,1.430394,0.855759,1.328901,1.142284,0.739244,0.685529798,0.733495332,0.709512565,0.800760354,0.750617982,23.89,23.94,23.39677419,26.93,26.5,25.73709677,29.97,29.05,28.07741935,153.4,89.8,285.8,0.968751267,0,0.030949515,4/10/23,MCH,,2.39,3,54,122,0,0,0,0,0,0,0,1,177,74,1,1,0,0,0,0,0,0,0,1,23,51,0,0,0,0
PA-240,26-Nov-20,Nov,4,RAINY,9:18,Badger,8/20/10,SAM,4739,12.98356164,Male,2,AD,22,11.38186734,42.71048504,13.88406803,Sara,0,0,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,23.79,23.71,22.93,26.07,25.55,24.57,28.35,27.38,26.2,327.9,441.6,681.5,0.889842666,0.009383832,0.100944747,8/11/23,MCH,7,1.22,1,13,0,0,0,0,0,0,0,0,0,13,11,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
PA-405,4-Feb-21,Feb,7,DRY,7:30,Badger,8/20/10,AM,4758,13.03561644,Male,2,AD,22,11.38186734,42.71048504,13.88406803,Sara,0,0,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,22.79,22.97,23.14,25.09,25.61,27.07,27.39,28.24,31,29,10.8,10.8,0.889842666,0.009383832,0.100944747,8/30/23,MCH,6,0.81,2,22,5,0,0,0,0,0,0,0,0,27,33,1,1,0,0,0,0,0,0,0,0,27,6,0,0,0,0
PA-660,5-Jul-21,Jul,12,RAINY,8:07,Badger,8/20/10,AM,4542,12.44383562,Male,2,AD,22,11.38186734,42.71048504,13.88406803,Sara,0,0,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,24.51,23.89,23.94,27.84,26.93,26.5,31.1,29.97,29.05,128.4,153.4,89.8,0.889842666,0.009383832,0.100944747,1/26/23,JKH,7,2.82,2,2,8,0,0,0,0,0,0,0,0,10,4,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0
PA-679,19-Jul-21,Jul,12,RAINY,11:15,Badger,8/20/10,AM,4319,11.83287671,Male,2,AD,22,11.38186734,42.71048504,13.88406803,Sara,0,0,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,24.51,23.89,23.94,27.84,26.93,26.5,31.1,29.97,29.05,128.4,153.4,89.8,0.889842666,0.009383832,0.100944747,6/17/22,HH,7,1.98,2,4,0,0,0,0,0,0,0,0,2,6,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1
PA-750,26-Aug-21,2-Aug,13,RAINY,10:30,Badger,8/20/10,AM,4556,12.48219178,Male,2,AD,22,11.38186734,42.71048504,13.88406803,Sara,0,0,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,23.89,23.94,23.39677419,26.93,26.5,25.73709677,29.97,29.05,28.07741935,153.4,89.8,285.8,0.889842666,0.009383832,0.100944747,2/9/23,JKH,7,1.65,2,0,0,0,0,0,0,0,8,0,30,38,23,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,18
PA-045,18-Aug-20,Aug,1,RAINY,11:02,Baloo,5/3/03,AF,6876,18.83835616,Female,1,AD,22,11.38186734,42.71048504,13.88406803,Timo,9,7,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,25.32,24.84,24.06,27.73,27.12,26.16,30.13,29.39,28.26,195.2,123.6,512.2,0.889842666,0.009383832,0.100944747,2/28/22,JC,4.5,3.94,5,200,2,0,0,0,0,0,18,2,72,294,75,1,1,0,0,0,0,0,1,1,1,51,1,0,5,1,18
PA-168,19-Oct-20,Oct,3,RAINY,9:05,Baloo,5/3/03,AF,6926,18.97534247,Female,1,AD,22,11.38186734,42.71048504,13.88406803,Timo,9,7,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,24.06,23.79,23.71,26.16,26.07,25.55,28.26,28.35,27.38,512.2,327.9,441.6,0.889842666,0.009383832,0.100944747,4/19/22,MCH/JKH/JC,6.5,1.77,6,321,6,0,0,0,0,1,13,10,31,382,216,1,1,0,0,0,0,1,1,1,1,181,3,0,7,6,18
PA-409,4-Feb-21,Feb,7,DRY,9:03,Baloo,5/3/03,AF,7473,20.4739726,Female,1,AD,22,11.38186734,42.71048504,13.88406803,Timo,9,7,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,22.79,22.97,23.14,25.09,25.61,27.07,27.39,28.24,31,29,10.8,10.8,0.889842666,0.009383832,0.100944747,10/18/23,MCH,7,2.76,4,4301,8,0,0,12,0,0,0,0,1,4322,1566,1,1,0,0,1,0,0,0,0,1,1558,3,0,0,0,0
PA-658,5-Jul-21,Jul,12,RAINY,7:39,Baloo,5/3/03,AF,7229,19.80547945,Female,1,AD,22,11.38186734,42.71048504,13.88406803,Timo,9,7,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,24.51,23.89,23.94,27.84,26.93,26.5,31.1,29.97,29.05,128.4,153.4,89.8,0.889842666,0.009383832,0.100944747,2/16/23,JKH,7,1.8,2,67,2,0,0,0,0,0,0,0,0,69,38,1,1,0,0,0,0,0,0,0,0,37,1,0,0,0,0
PA-706,11-Aug-21,2-Aug,13,RAINY,9:28,Baloo,5/3/03,AF,6943,19.02191781,Female,1,AD,22,11.38186734,42.71048504,13.88406803,Timo,9,7,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,23.89,23.94,23.39677419,26.93,26.5,25.73709677,29.97,29.05,28.07741935,153.4,89.8,285.8,0.889842666,0.009383832,0.100944747,5/6/22,JKH,7.2,2.84,3,289,15,0,0,0,0,0,0,0,4,308,108,1,1,0,0,0,0,0,0,0,1,102,5,0,0,0,1
PA-086,15-Sep-20,Sep,2,RAINY,10:00,Barty,1/1/03,AM,7145,19.57534247,Male,2,LV,30,12.81671162,35.0544688,15.39024269,,,,0.855811,1.949287,2.340694,1.841247,1.469938,1.341847,0.961201,0.713424854,0.743786629,0.728605741,0.802280702,0.760921515,24.84,24.06,23.79,27.12,26.16,26.07,29.39,28.26,28.35,123.6,512.2,327.9,0.976790217,0.007748984,0.01576071,7/25/22,JC,5.5,3.58,2,316,14,0,0,0,0,0,0,0,0,330,92,1,1,0,0,0,0,0,0,0,0,88,4,0,0,0,0
PA-657,18-May-21,May,10,DRY,9:50,Barty,1/1/03,AM,7603,20.83013699,Male,2,LV,30,12.81671162,35.0544688,15.39024269,,,,0.855811,1.949287,2.340694,1.841247,1.469938,1.341847,0.961201,0.713424854,0.743786629,0.728605741,0.802280702,0.760921515,23.77,24.51,24.58,28.25,28.95,27.84,32.73,33.39,31.1,0.1,94.7,128.4,0.976790217,0.007748984,0.01576071,10/26/23,MCH,7.5,1.76,3,15,0,0,0,0,0,0,2,0,6,23,13,1,0,0,0,0,0,0,1,0,1,9,0,0,1,0,3
PA-072,31-Aug-20,Aug,1,RAINY,11:38,Bathilda,11/12/13,AF,3082,8.443835616,Female,8,GN,23,16.07948579,34.67887363,16.64771481,Lily,0,0,0.663228,1.381571,1.430394,0.855759,1.328901,1.142284,0.739244,0.685529798,0.733495332,0.709512565,0.800760354,0.750617982,25.32,24.84,24.06,27.73,27.12,26.16,30.13,29.39,28.26,195.2,123.6,512.2,0.968751267,0,0.030949515,4/21/22,MCH/JKH,3.25,1.4,4,179,73,0,0,0,0,4,0,0,1,257,184,1,1,0,0,0,0,1,0,0,1,128,52,0,0,0,1
PA-605,14-Apr-21,Apr,9,DRY,8:30,Bathilda,11/12/13,AF,3705,10.15068493,Female,8,GN,23,16.07948579,34.67887363,16.64771481,Lily,0,0,0.663228,1.381571,1.430394,0.855759,1.328901,1.142284,0.739244,0.685529798,0.733495332,0.709512565,0.800760354,0.750617982,23.14,23.77,24.51,27.07,28.25,28.95,31,32.73,33.39,10.8,0.1,94.7,0.968751267,0,0.030949515,1/4/24,MCH,7,1.77,4,454,2,0,0,0,0,0,50,147,0,653,369,1,1,0,0,0,0,0,1,1,0,256,1,0,28,83,0
PA-042,19-Aug-20,Aug,1,RAINY,10:17,Beauty,3/12/06,AF,5807,15.90958904,Female,6,AD,22,11.38186734,42.71048504,13.88406803,Seri,7,6,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,25.32,24.84,24.06,27.73,27.12,26.16,30.13,29.39,28.26,195.2,123.6,512.2,0.889842666,0.009383832,0.100944747,2/3/22,MCH,5,4.3,4,114,0,0,0,0,0,0,115,1,340,570,133,1,0,0,0,0,0,0,1,1,1,27,0,0,27,0,79
PA-700,11-Aug-21,2-Aug,13,RAINY,8:30,Beauty,3/12/06,AF,6102,16.71780822,Female,6,AD,22,11.38186734,42.71048504,13.88406803,Seri,7,6,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,23.89,23.94,23.39677419,26.93,26.5,25.73709677,29.97,29.05,28.07741935,153.4,89.8,285.8,0.889842666,0.009383832,0.100944747,11/25/22,JKH,7,1.64,2,77,1,0,0,0,0,0,0,0,0,78,48,1,1,0,0,0,0,0,0,0,0,47,1,0,0,0,0
PA-152,14-Oct-20,Oct,3,RAINY,8:17,Charchere,11/1/04,AF,6223,17.04931507,Female,4,LV,30,12.81671162,35.0544688,15.39024269,Dosl,2,1,0.855811,1.949287,2.340694,1.841247,1.469938,1.341847,0.961201,0.713424854,0.743786629,0.728605741,0.802280702,0.760921515,24.06,23.79,23.71,26.16,26.07,25.55,28.26,28.35,27.38,512.2,327.9,441.6,0.976790217,0.007748984,0.01576071,11/15/21,HH,2,1.32,3,85,0,0,0,0,0,0,3,0,58,146,111,1,0,0,0,0,0,0,1,0,1,64,0,0,2,0,44
PA-155,14-Oct-20,Oct,3,RAINY,8:44,Charchere,11/1/04,AF,6325,17.32876712,Female,4,LV,30,12.81671162,35.0544688,15.39024269,Dosl,2,1,0.855811,1.949287,2.340694,1.841247,1.469938,1.341847,0.961201,0.713424854,0.743786629,0.728605741,0.802280702,0.760921515,24.06,23.79,23.71,26.16,26.07,25.55,28.26,28.35,27.38,512.2,327.9,441.6,0.976790217,0.007748984,0.01576071,2/25/22,HH,7,1.69,4,113,0,0,0,0,0,0,7,1,42,163,96,1,0,0,0,0,0,0,1,1,1,67,0,0,4,1,25
PA-052,19-Aug-20,Aug,1,RAINY,10:35,Chocolate,1/2/19,SJM,1276,3.495890411,Male,,LV,30,12.81671162,35.0544688,15.39024269,Blan,19,11,0.855811,1.949287,2.340694,1.841247,1.469938,1.341847,0.961201,0.713424854,0.743786629,0.728605741,0.802280702,0.760921515,25.32,24.84,24.06,27.73,27.12,26.16,30.13,29.39,28.26,195.2,123.6,512.2,0.976790217,0.007748984,0.01576071,7/1/22,JC,3,0.94,5,74,28,0,0,0,0,0,15,10,25,152,162,1,1,0,0,0,0,0,1,1,1,79,30,0,16,11,27
PA-530,17-Mar-21,Mar,8,DRY,8:47,Chocolate,1/2/19,SJM,1829,5.010958904,Male,,LV,30,12.81671162,35.0544688,15.39024269,Blan,19,11,0.855811,1.949287,2.340694,1.841247,1.469938,1.341847,0.961201,0.713424854,0.743786629,0.728605741,0.802280702,0.760921515,22.97,23.14,23.77,25.61,27.07,28.25,28.24,31,32.73,10.8,10.8,0.1,0.976790217,0.007748984,0.01576071,1/5/24,MCH,6.9,1.95,2,38,90,0,0,0,0,0,0,0,0,128,66,1,1,0,0,0,0,0,0,0,0,19,46,0,0,0,0
PA-004,10-Aug-20,Aug,1,RAINY,8:51,Cicatriz,1/1/00,AM,8169,22.38082192,Male,3,RM,33,21.03212945,45.78525881,21.21717125,,,,0.720756,1.555344,1.569028,1.07566,1.267412,1.164216,0.790313,0.730001852,0.730101622,0.730051737,0.778182963,0.749103077,25.32,24.84,24.06,27.73,27.12,26.16,30.13,29.39,28.26,195.2,123.6,512.2,0.920383193,0,0.079615533,5/14/22,HH/JC,3,1.97,1,111,0,0,0,0,0,0,0,0,0,111,56,1,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
PA-593,13-Apr-21,Apr,9,DRY,8:02,Cicatriz,1/1/00,AM,8559,23.44931507,Male,3,RM,33,21.03212945,45.78525881,21.21717125,,,,0.720756,1.555344,1.569028,1.07566,1.267412,1.164216,0.790313,0.730001852,0.730101622,0.730051737,0.778182963,0.749103077,23.14,23.77,24.51,27.07,28.25,28.95,31,32.73,33.39,10.8,0.1,94.7,0.920383193,0,0.079615533,6/8/23,MCH,7.5,3.26,2,397,32,0,0,0,0,0,0,0,0,429,132,1,1,0,0,0,0,0,0,0,0,122,10,0,0,0,0
PA-047,18-Aug-20,Aug,1,RAINY,11:15,Cogsworth,5/24/11,SAM,4071,11.15342466,Male,3,AD,22,11.38186734,42.71048504,13.88406803,Pumb,1,0,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,25.32,24.84,24.06,27.73,27.12,26.16,30.13,29.39,28.26,195.2,123.6,512.2,0.889842666,0.009383832,0.100944747,7/16/22,JC,3.5,1.21,3,30,0,0,0,0,0,0,34,0,145,209,173,1,0,0,0,0,0,0,1,0,1,25,0,0,28,0,120
PA-507,3-Mar-21,Mar,8,DRY,11:02,Cogsworth,5/24/11,SAM,4391,12.03013699,Male,3,AD,22,11.38186734,42.71048504,13.88406803,Pumb,1,0,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,22.97,23.14,23.77,25.61,27.07,28.25,28.24,31,32.73,10.8,10.8,0.1,0.889842666,0.009383832,0.100944747,6/1/23,MCH,7,2.3,1,40,0,0,0,0,0,0,0,0,0,40,17,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
PA-702,11-Aug-21,2-Aug,13,RAINY,8:45,Cosgworth,5/24/11,AM,4140,11.34246575,Male,3,AD,22,11.38186734,42.71048504,13.88406803,Pumb,1,0,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,23.89,23.94,23.39677419,26.93,26.5,25.73709677,29.97,29.05,28.07741935,153.4,89.8,285.8,0.889842666,0.009383832,0.100944747,9/23/22,JKH,7,2.56,3,77,1,0,0,0,0,0,0,0,1,79,31,1,1,0,0,0,0,0,0,0,1,30,0,0,0,0,0
PA-756,26-Aug-21,2-Aug,13,RAINY,11:50,Cosgworth,5/24/11,AM,4272,11.70410959,Male,3,AD,22,11.38186734,42.71048504,13.88406803,Pumb,1,0,0.515096,1.58455,1.932899,1.179157,1.848038,1.728069,1.036729,0.726148264,0.727244932,0.726696598,0.774256771,0.745626099,23.89,23.94,23.39677419,26.93,26.5,25.73709677,29.97,29.05,28.07741935,153.4,89.8,285.8,0.889842666,0.009383832,0.100944747,2/2/23,JKH,7,2.09,3,165,55,0,0,0,0,0,0,67,0,287,137,1,1,0,0,0,0,0,0,1,0,79,26,0,0,32,0
PA-130,29-Sep-20,Sep,2,RAINY,9:39,Crystal,10/18/12,AF,3473,9.515068493,Female,5,LV,30,12.81671162,35.0544688,15.39024269,Blan,19,11,0.855811,1.949287,2.340694,1.841247,1.469938,1.341847,0.961201,0.713424854,0.743786629,0.728605741,0.802280702,0.760921515,24.84,24.06,23.79,27.12,26.16,26.07,29.39,28.26,28.35,123.6,512.2,327.9,0.976790217,0.007748984,0.01576071,4/22/22,HH,6.5,1.08,3,71,4,0,0,0,0,0,0,1,0,76,70,1,1,0,0,0,0,0,0,1,0,66,4,0,0,1,0
PA-118,28-Sep-20,Sep,2,RAINY,8:57,Ducky,11/14/12,AF,3366,9.221917808,Female,8,RM,33,21.03212945,45.78525881,21.21717125,Sara,4,5,0.720756,1.555344,1.569028,1.07566,1.267412,1.164216,0.790313,0.730001852,0.730101622,0.730051737,0.778182963,0.749103077,24.84,24.06,23.79,27.12,26.16,26.07,29.39,28.26,28.35,123.6,512.2,327.9,0.920383193,0,0.079615533,2/1/22,JC,8.5,3.67,4,484,25,0,0,0,1,2,0,0,0,512,140,1,1,0,0,0,1,1,0,0,0,132,7,0,0,0,0
